96,32
53,45
83,15
12,19
100,66
92,42
20,29
32,5
31,39
63,86
77,80
46,97
28,14
95,48
15,57
86,52
73,100
1,20
3,55
6,19
45,16
94,23
78,60
60,34
55,89
8,15
81,38
58,60
44,6
6,98
39,91
94,23
42,65
80,99
80,5
1,95
40,45
85,65
57,62
26,42
26,3
45,2
100,7
15,89
54,55
27,40
29,71
71,15
47,37
13,28
85,46
82,10
58,41
51,19
14,23
18,95
14,33
24,43
80,89
70,34
83,5
64,6
14,22
93,58
85,86
63,61
68,12
3,92
9,37
6,77
58,3
98,21
73,2
78,30
86,20
52,54
33,36
71,93
71,81
84,87
64,13
75,9
42,9
89,55
16,91
44,89
95,99
58,11
53,27
78,75
87,20
95,54
66,33
35,84
44,4
91,97
45,100
66,74
77,16
2,46
